========================================
  SIMULATION CONFIGURATION
========================================
  Total servers (P + S):    10
  Starting queue size:      1000
  Task time range:          10-60 ticks
  Simulation duration:      10000 ticks
========================================

[Processing][t=0] LoadBalancer initialized with num servers: 5
[Streaming][t=0] LoadBalancer initialized with num servers: 5
[Streaming][t=13] Request completed at time 13
[Processing][t=14] Request completed at time 14
[Processing][t=16] Request completed at time 16
[Streaming][t=17] Request completed at time 17
[Processing][t=20] Request completed at time 20
[Streaming][t=23] Request completed at time 23
[Streaming][t=25] Request completed at time 25
[Streaming][t=26] Request completed at time 26
[Processing][t=29] Request completed at time 29
[Processing][t=30] Request completed at time 30
[Streaming][t=37] Request completed at time 37
[Streaming][t=37] Request completed at time 37
[Streaming][t=38] Request completed at time 38
[Processing][t=43] Request completed at time 43
[Streaming][t=48] Request completed at time 48
[Processing][t=50] Request completed at time 50
[Processing][t=50] Request completed at time 50
[Processing][t=56] Request completed at time 56
[Streaming][t=65] Request completed at time 65
[Processing][t=68] Request completed at time 68
[Processing][t=77] Request completed at time 77
[Streaming][t=77] Request completed at time 77
[Processing][t=78] Request completed at time 78
[Processing][t=82] Request completed at time 82
[Streaming][t=93] Request completed at time 93
[Processing][t=95] Request completed at time 95
[Streaming][t=95] Request completed at time 95
[Processing][t=97] Request completed at time 97
[Processing][t=100] Server added, total servers: 6
[Streaming][t=100] Server added, total servers: 6
[Streaming][t=101] Request completed at time 101
[Streaming][t=108] Request completed at time 108
[Processing][t=114] Request completed at time 114
[Processing][t=119] Request completed at time 119
[Processing][t=120] Request completed at time 120
[Streaming][t=124] Request completed at time 124
[Streaming][t=125] Request completed at time 125
[Streaming][t=129] Request completed at time 129
[Processing][t=131] Request completed at time 131
[Processing][t=134] Request completed at time 134
[Streaming][t=134] Request completed at time 134
[Processing][t=144] Request completed at time 144
[Streaming][t=150] Request completed at time 150
[Streaming][t=157] Request completed at time 157
[Processing][t=161] Request completed at time 161
[Processing][t=163] Request completed at time 163
[Processing][t=164] Request completed at time 164
[Streaming][t=164] Request completed at time 164
[Streaming][t=169] Request completed at time 169
[Processing][t=172] Request completed at time 172
[Processing][t=173] Request completed at time 173
[Processing][t=176] Request completed at time 176
[Streaming][t=178] Request completed at time 178
[Streaming][t=178] Request completed at time 178
[Streaming][t=180] Request completed at time 180
[Streaming][t=183] Request completed at time 183
[Streaming][t=185] Request completed at time 185
[Processing][t=188] Request completed at time 188
[Processing][t=192] Request completed at time 192
[Processing][t=194] Request completed at time 194
[Streaming][t=196] Request completed at time 196
[Processing][t=197] Request completed at time 197
[Processing][t=200] Server added, total servers: 7
[Streaming][t=200] Server added, total servers: 7
[Streaming][t=201] Request completed at time 201
[Processing][t=210] Request completed at time 210
[Processing][t=212] Request completed at time 212
[Processing][t=212] Request completed at time 212
[Streaming][t=215] Request completed at time 215
[Streaming][t=218] Request completed at time 218
[Processing][t=219] Request completed at time 219
[Processing][t=219] Request completed at time 219
[Processing][t=220] Request completed at time 220
[Streaming][t=220] Request completed at time 220
[Streaming][t=222] Request completed at time 222
[Streaming][t=222] Request completed at time 222
[Streaming][t=228] Request completed at time 228
[Processing][t=229] Request completed at time 229
[Streaming][t=235] Request completed at time 235
[Processing][t=236] Request completed at time 236
[Streaming][t=237] Request completed at time 237
[Processing][t=240] Request completed at time 240
[Streaming][t=240] Request completed at time 240
[Streaming][t=241] Request completed at time 241
[Streaming][t=246] Request completed at time 246
[Processing][t=248] Request completed at time 248
[Streaming][t=249] Request completed at time 249
[Processing][t=251] Request completed at time 251
[Processing][t=255] Request completed at time 255
[Streaming][t=256] Request completed at time 256
[Streaming][t=259] Request completed at time 259
[Streaming][t=260] Request completed at time 260
[Processing][t=264] Request completed at time 264
[Processing][t=264] Request completed at time 264
[Processing][t=266] Request completed at time 266
[Processing][t=268] Request completed at time 268
[Streaming][t=268] Request completed at time 268
[Processing][t=269] Request completed at time 269
[Streaming][t=270] Request completed at time 270
[Streaming][t=274] Request completed at time 274
[Streaming][t=275] Request completed at time 275
[Processing][t=279] Request completed at time 279
[Processing][t=284] Request completed at time 284
[Processing][t=285] Request completed at time 285
[Processing][t=286] Request completed at time 286
[Streaming][t=286] Request completed at time 286
[Streaming][t=287] Request completed at time 287
[Processing][t=288] Request completed at time 288
[Processing][t=288] Request completed at time 288
[Processing][t=296] Request completed at time 296
[Streaming][t=297] Request completed at time 297
[Processing][t=298] Request completed at time 298
[Streaming][t=299] Request completed at time 299
[Processing][t=300] Server added, total servers: 8
[Streaming][t=309] Request completed at time 309
[Processing][t=315] Request completed at time 315
[Processing][t=316] Request completed at time 316
[Processing][t=316] Request completed at time 316
[Streaming][t=323] Request completed at time 323
[Streaming][t=323] Request completed at time 323
[Streaming][t=326] Request completed at time 326
[Processing][t=328] Request completed at time 328
[Processing][t=333] Request completed at time 333
[Streaming][t=333] Request completed at time 333
[Processing][t=335] Request completed at time 335
[Streaming][t=337] Request completed at time 337
[Processing][t=338] Request completed at time 338
[Streaming][t=338] Server added, total servers: 8
[Streaming][t=339] Request completed at time 339
[Streaming][t=340] Request completed at time 340
[Streaming][t=344] Request completed at time 344
[Processing][t=348] Request completed at time 348
[Processing][t=349] Request completed at time 349
[Processing][t=356] Request completed at time 356
[Processing][t=357] Request completed at time 357
[Processing][t=357] Request completed at time 357
[Streaming][t=358] Request completed at time 358
[Streaming][t=358] Request completed at time 358
[Processing][t=364] Request completed at time 364
[Processing][t=368] Request completed at time 368
[Streaming][t=370] Request completed at time 370
[Streaming][t=370] Request completed at time 370
[Streaming][t=371] Request completed at time 371
[Processing][t=373] Request completed at time 373
[Processing][t=374] Request completed at time 374
[Streaming][t=376] Request completed at time 376
[Processing][t=379] Request completed at time 379
[Processing][t=380] Request completed at time 380
[Streaming][t=382] Request completed at time 382
[Streaming][t=386] Request completed at time 386
[Processing][t=390] Request completed at time 390
[Streaming][t=390] Request completed at time 390
[Streaming][t=395] Request completed at time 395
[Processing][t=397] Request completed at time 397
[Processing][t=400] Request completed at time 400
[Processing][t=402] Request completed at time 402
[Processing][t=403] Request completed at time 403
[Streaming][t=403] Request completed at time 403
[Streaming][t=405] Request completed at time 405
[Streaming][t=407] Request completed at time 407
[Processing][t=408] Request completed at time 408
[Streaming][t=408] Request completed at time 408
[Processing][t=409] Request completed at time 409
[Processing][t=410] Request completed at time 410
[Processing][t=418] Server added, total servers: 9
[Streaming][t=420] Request completed at time 420
[Streaming][t=423] Request completed at time 423
[Processing][t=428] Request completed at time 428
[Processing][t=428] Request completed at time 428
[Processing][t=429] Request completed at time 429
[Streaming][t=429] Request completed at time 429
[Streaming][t=434] Request completed at time 434
[Processing][t=437] Request completed at time 437
[Streaming][t=438] Request completed at time 438
[Processing][t=439] Request completed at time 439
[Processing][t=441] Request completed at time 441
[Streaming][t=442] Request completed at time 442
[Streaming][t=443] Request completed at time 443
[Streaming][t=444] Request completed at time 444
[Processing][t=448] Request completed at time 448
[Processing][t=451] Request completed at time 451
[Streaming][t=451] Request completed at time 451
[Streaming][t=451] Request completed at time 451
[Processing][t=452] Request completed at time 452
[Streaming][t=454] Request completed at time 454
[Streaming][t=465] Request completed at time 465
[Processing][t=468] Request completed at time 468
[Streaming][t=470] Request completed at time 470
[Streaming][t=470] Request completed at time 470
[Processing][t=471] Request completed at time 471
[Processing][t=473] Request completed at time 473
[Processing][t=474] Request completed at time 474
[Processing][t=475] Request completed at time 475
[Streaming][t=475] Request completed at time 475
[Streaming][t=480] Request completed at time 480
[Streaming][t=487] Request completed at time 487
[Processing][t=491] Request completed at time 491
[Streaming][t=494] Request completed at time 494
[Streaming][t=496] Request completed at time 496
[Processing][t=497] Request completed at time 497
[Processing][t=503] Request completed at time 503
[Streaming][t=503] Server added, total servers: 9
[Streaming][t=504] Request completed at time 504
[Processing][t=505] Request completed at time 505
[Processing][t=506] Request completed at time 506
[Processing][t=507] Request completed at time 507
[Streaming][t=507] Request completed at time 507
[Processing][t=509] Request completed at time 509
[Streaming][t=511] Request completed at time 511
[Processing][t=514] Request completed at time 514
[Processing][t=515] Request completed at time 515
[Processing][t=519] Request completed at time 519
[Processing][t=519] Request completed at time 519
[Streaming][t=523] Request completed at time 523
[Streaming][t=528] Request completed at time 528
[Streaming][t=528] Request completed at time 528
[Streaming][t=530] Request completed at time 530
[Processing][t=531] Request completed at time 531
[Streaming][t=533] Request completed at time 533
[Processing][t=534] Request completed at time 534
[Processing][t=536] Request completed at time 536
[Streaming][t=536] Request completed at time 536
[Processing][t=538] Request completed at time 538
[Processing][t=540] Request completed at time 540
[Processing][t=541] Request completed at time 541
[Processing][t=541] Request completed at time 541
[Processing][t=541] Request completed at time 541
[Processing][t=544] Request completed at time 544
[Streaming][t=546] Request completed at time 546
[Streaming][t=547] Request completed at time 547
[Streaming][t=551] Request completed at time 551
[Processing][t=553] Request completed at time 553
[Processing][t=553] Request completed at time 553
[Processing][t=555] Request completed at time 555
[Processing][t=555] Request completed at time 555
[Streaming][t=555] Request completed at time 555
[Streaming][t=556] Request completed at time 556
[Streaming][t=557] Request completed at time 557
[Processing][t=558] Request completed at time 558
[Processing][t=560] Request completed at time 560
[Processing][t=564] Server added, total servers: 10
[Streaming][t=567] Request completed at time 567
[Streaming][t=571] Request completed at time 571
[Streaming][t=575] Request completed at time 575
[Processing][t=578] Request completed at time 578
[Streaming][t=582] Request completed at time 582
[Streaming][t=583] Request completed at time 583
[Processing][t=584] Request completed at time 584
[Processing][t=587] Request completed at time 587
[Streaming][t=590] Request completed at time 590
[Streaming][t=590] Request completed at time 590
[Processing][t=594] Request completed at time 594
[Processing][t=595] Request completed at time 595
[Streaming][t=597] Request completed at time 597
[Streaming][t=601] Request completed at time 601
[Processing][t=602] Request completed at time 602
[Processing][t=603] Request completed at time 603
[Streaming][t=603] Request completed at time 603
[Streaming][t=604] Request completed at time 604
[Streaming][t=605] Request completed at time 605
[Streaming][t=606] Request completed at time 606
[Processing][t=608] Request completed at time 608
[Processing][t=609] Request completed at time 609
[Processing][t=610] Request completed at time 610
[Processing][t=610] Request completed at time 610
[Processing][t=613] Request completed at time 613
[Processing][t=614] Request completed at time 614
[Processing][t=614] Request completed at time 614
[Streaming][t=614] Request completed at time 614
[Processing][t=615] Request completed at time 615
[Processing][t=615] Request completed at time 615
[Processing][t=619] Request completed at time 619
[Processing][t=623] Request completed at time 623
[Streaming][t=623] Request completed at time 623
[Streaming][t=628] Request completed at time 628
[Streaming][t=632] Request completed at time 632
[Streaming][t=633] Request completed at time 633
[Streaming][t=636] Request completed at time 636
[Processing][t=640] Request completed at time 640
[Streaming][t=641] Request completed at time 641
[Processing][t=642] Request completed at time 642
[Processing][t=649] Request completed at time 649
[Streaming][t=649] Request completed at time 649
[Processing][t=650] Request completed at time 650
[Streaming][t=651] Request completed at time 651
[Streaming][t=651] Request completed at time 651
[Processing][t=653] Request completed at time 653
[Streaming][t=654] Request completed at time 654
[Streaming][t=657] Request completed at time 657
[Processing][t=660] Request completed at time 660
[Processing][t=660] Request completed at time 660
[Processing][t=661] Request completed at time 661
[Processing][t=662] Request completed at time 662
[Processing][t=663] Request completed at time 663
[Streaming][t=663] Request completed at time 663
[Streaming][t=663] Request completed at time 663
[Streaming][t=664] Request completed at time 664
[Processing][t=666] Request completed at time 666
[Processing][t=670] Request completed at time 670
[Processing][t=671] Request completed at time 671
[Streaming][t=677] Request completed at time 677
[Streaming][t=678] Request completed at time 678
[Streaming][t=681] Request completed at time 681
[Streaming][t=681] Request completed at time 681
[Processing][t=686] Request completed at time 686
[Processing][t=687] Request completed at time 687
[Streaming][t=689] Request completed at time 689
[Streaming][t=689] Request completed at time 689
[Processing][t=690] Request completed at time 690
[Streaming][t=697] Request completed at time 697
[Streaming][t=700] Request completed at time 700
[Streaming][t=702] Request completed at time 702
[Processing][t=704] Request completed at time 704
[Streaming][t=704] Request completed at time 704
[Streaming][t=704] Request completed at time 704
[Streaming][t=704] Request completed at time 704
[Processing][t=705] Request completed at time 705
[Streaming][t=705] Request completed at time 705
[Streaming][t=707] Request completed at time 707
[Processing][t=709] Request completed at time 709
[Processing][t=710] Request completed at time 710
[Processing][t=711] Request completed at time 711
[Processing][t=714] Request completed at time 714
[Processing][t=721] Request completed at time 721
[Streaming][t=724] Request completed at time 724
[Processing][t=725] Request completed at time 725
[Streaming][t=725] Request completed at time 725
[Streaming][t=725] Request completed at time 725
[Processing][t=726] Request completed at time 726
[Processing][t=727] Request completed at time 727
[Streaming][t=728] Request completed at time 728
[Streaming][t=731] Request completed at time 731
[Processing][t=732] Request completed at time 732
[Processing][t=732] Request completed at time 732
[Streaming][t=734] Request completed at time 734
[Streaming][t=735] Request completed at time 735
[Streaming][t=737] Request completed at time 737
[Processing][t=739] Request completed at time 739
[Processing][t=740] Request completed at time 740
[Processing][t=744] Request completed at time 744
[Streaming][t=745] Request completed at time 745
[Processing][t=748] Request completed at time 748
[Processing][t=749] Request completed at time 749
[Processing][t=749] Request completed at time 749
[Processing][t=751] Request completed at time 751
[Streaming][t=752] Request completed at time 752
[Processing][t=754] Request completed at time 754
[Streaming][t=757] Request completed at time 757
[Streaming][t=758] Request completed at time 758
[Processing][t=761] Request completed at time 761
[Streaming][t=761] Request completed at time 761
[Processing][t=762] Request completed at time 762
[Streaming][t=768] Request completed at time 768
[Streaming][t=768] Request completed at time 768
[Processing][t=770] Request completed at time 770
[Processing][t=774] Request completed at time 774
[Processing][t=775] Request completed at time 775
[Processing][t=776] Request completed at time 776
[Processing][t=776] Request completed at time 776
[Streaming][t=778] Request completed at time 778
[Streaming][t=778] Request completed at time 778
[Processing][t=779] Request completed at time 779
[Streaming][t=779] Request completed at time 779
[Processing][t=780] Request completed at time 780
[Processing][t=780] Request completed at time 780
[Processing][t=782] Request completed at time 782
[Processing][t=782] Request completed at time 782
[Processing][t=783] Request completed at time 783
[Streaming][t=784] Request completed at time 784
[Streaming][t=789] Request completed at time 789
[Processing][t=790] Request completed at time 790
[Streaming][t=790] Request completed at time 790
[Processing][t=792] Request completed at time 792
[Processing][t=792] Request completed at time 792
[Processing][t=794] Request completed at time 794
[Streaming][t=795] Request completed at time 795
[Streaming][t=798] Request completed at time 798
[Streaming][t=798] Request completed at time 798
[Processing][t=802] Request completed at time 802
[Streaming][t=805] Request completed at time 805
[Processing][t=806] Request completed at time 806
[Streaming][t=809] Request completed at time 809
[Streaming][t=810] Request completed at time 810
[Streaming][t=811] Request completed at time 811
[Streaming][t=812] Request completed at time 812
[Processing][t=819] Request completed at time 819
[Streaming][t=819] Request completed at time 819
[Streaming][t=820] Request completed at time 820
[Processing][t=822] Request completed at time 822
[Processing][t=822] Request completed at time 822
[Streaming][t=822] Request completed at time 822
[Processing][t=823] Request completed at time 823
[Streaming][t=823] Request completed at time 823
[Processing][t=825] Request completed at time 825
[Streaming][t=831] Request completed at time 831
[Processing][t=832] Request completed at time 832
[Streaming][t=836] Request completed at time 836
[Streaming][t=836] Request completed at time 836
[Processing][t=837] Request completed at time 837
[Streaming][t=838] Request completed at time 838
[Processing][t=839] Request completed at time 839
[Processing][t=840] Request completed at time 840
[Processing][t=840] Request completed at time 840
[Processing][t=846] Request completed at time 846
[Streaming][t=846] Request completed at time 846
[Streaming][t=847] Request completed at time 847
[Streaming][t=847] Request completed at time 847
[Streaming][t=848] Request completed at time 848
[Processing][t=850] Request completed at time 850
[Processing][t=851] Request completed at time 851
[Processing][t=856] Request completed at time 856
[Streaming][t=859] Request completed at time 859
[Processing][t=860] Request completed at time 860
[Processing][t=860] Request completed at time 860
[Processing][t=863] Request completed at time 863
[Streaming][t=864] Request completed at time 864
[Streaming][t=867] Request completed at time 867
[Processing][t=868] Request completed at time 868
[Streaming][t=868] Request completed at time 868
[Streaming][t=874] Request completed at time 874
[Processing][t=883] Request completed at time 883
[Streaming][t=883] Request completed at time 883
[Streaming][t=883] Request completed at time 883
[Processing][t=886] Request completed at time 886
[Processing][t=888] Request completed at time 888
[Processing][t=892] Request completed at time 892
[Processing][t=894] Request completed at time 894
[Processing][t=895] Request completed at time 895
[Processing][t=896] Request completed at time 896
[Processing][t=897] Request completed at time 897
[Processing][t=898] Request completed at time 898
[Processing][t=898] Request completed at time 898
[Streaming][t=898] Request completed at time 898
[Streaming][t=899] Request completed at time 899
[Streaming][t=901] Request completed at time 901
[Streaming][t=903] Request completed at time 903
[Streaming][t=905] Request completed at time 905
[Processing][t=907] Request completed at time 907
[Streaming][t=908] Request completed at time 908
[Processing][t=909] Request completed at time 909
[Processing][t=909] Request completed at time 909
[Processing][t=914] Request completed at time 914
[Streaming][t=919] Request completed at time 919
[Processing][t=920] Request completed at time 920
[Processing][t=924] Request completed at time 924
[Streaming][t=925] Request completed at time 925
[Processing][t=928] Request completed at time 928
[Processing][t=930] Request completed at time 930
[Processing][t=936] Request completed at time 936
[Processing][t=938] Request completed at time 938
[Streaming][t=938] Request completed at time 938
[Processing][t=939] Request completed at time 939
[Processing][t=939] Request completed at time 939
[Streaming][t=940] Request completed at time 940
[Processing][t=942] Request completed at time 942
[Streaming][t=943] Request completed at time 943
[Processing][t=945] Request completed at time 945
[Streaming][t=946] Request completed at time 946
[Processing][t=947] Request completed at time 947
[Streaming][t=948] Request completed at time 948
[Streaming][t=949] Request completed at time 949
[Streaming][t=952] Request completed at time 952
[Processing][t=954] Request completed at time 954
[Streaming][t=954] Request completed at time 954
[Processing][t=956] Request completed at time 956
[Processing][t=959] Request completed at time 959
[Streaming][t=959] Request completed at time 959
[Processing][t=960] Request completed at time 960
[Processing][t=965] Request completed at time 965
[Processing][t=966] Request completed at time 966
[Streaming][t=968] Request completed at time 968
[Processing][t=970] Request completed at time 970
[Processing][t=974] Request completed at time 974
[Streaming][t=974] Request completed at time 974
[Processing][t=977] Request completed at time 977
[Processing][t=980] Request completed at time 980
[Processing][t=981] Request completed at time 981
[Streaming][t=982] Request completed at time 982
[Streaming][t=982] Request completed at time 982
[Processing][t=985] Request completed at time 985
[Processing][t=985] Request completed at time 985
[Streaming][t=989] Request completed at time 989
[Streaming][t=990] Request completed at time 990
[Streaming][t=992] Request completed at time 992
[Processing][t=994] Request completed at time 994
[Processing][t=998] Request completed at time 998
[Streaming][t=999] Request completed at time 999
[Streaming][t=1001] Request completed at time 1001
[Streaming][t=1003] Request completed at time 1003
[Processing][t=1006] Request completed at time 1006
[Processing][t=1006] Request completed at time 1006
[Processing][t=1007] Request completed at time 1007
[Processing][t=1008] Request completed at time 1008
[Streaming][t=1014] Request completed at time 1014
[Streaming][t=1015] Request completed at time 1015
[Processing][t=1018] Request completed at time 1018
[Processing][t=1020] Request completed at time 1020
[Streaming][t=1021] Request completed at time 1021
[Streaming][t=1023] Request completed at time 1023
[Streaming][t=1025] Request completed at time 1025
[Processing][t=1028] Request completed at time 1028
[Processing][t=1030] Request completed at time 1030
[Processing][t=1032] Request completed at time 1032
[Processing][t=1035] Request completed at time 1035
[Processing][t=1036] Request completed at time 1036
[Processing][t=1036] Request completed at time 1036
[Streaming][t=1038] Request completed at time 1038
[Processing][t=1039] Request completed at time 1039
[Streaming][t=1039] Request completed at time 1039
[Streaming][t=1041] Request completed at time 1041
[Streaming][t=1042] Request completed at time 1042
[Streaming][t=1045] Request completed at time 1045
[Streaming][t=1049] Request completed at time 1049
[Processing][t=1050] Request completed at time 1050
[Streaming][t=1051] Request completed at time 1051
[Streaming][t=1053] Request completed at time 1053
[Streaming][t=1060] Request completed at time 1060
[Streaming][t=1060] Request completed at time 1060
[Processing][t=1061] Request completed at time 1061
[Processing][t=1061] Request completed at time 1061
[Streaming][t=1064] Request completed at time 1064
[Processing][t=1066] Request completed at time 1066
[Processing][t=1067] Request completed at time 1067
[Processing][t=1069] Request completed at time 1069
[Processing][t=1070] Request completed at time 1070
[Streaming][t=1070] Request completed at time 1070
[Streaming][t=1071] Request completed at time 1071
[Processing][t=1075] Request completed at time 1075
[Processing][t=1077] Request completed at time 1077
[Processing][t=1079] Request completed at time 1079
[Streaming][t=1080] Request completed at time 1080
[Processing][t=1082] Request completed at time 1082
[Processing][t=1083] Request completed at time 1083
[Processing][t=1083] Request completed at time 1083
[Streaming][t=1084] Request completed at time 1084
[Streaming][t=1090] Request completed at time 1090
[Streaming][t=1090] Request completed at time 1090
[Streaming][t=1093] Request completed at time 1093
[Streaming][t=1094] Request completed at time 1094
[Processing][t=1099] Request completed at time 1099
[Streaming][t=1100] Request completed at time 1100
[Streaming][t=1101] Request completed at time 1101
[Processing][t=1102] Request completed at time 1102
[Processing][t=1106] Request completed at time 1106
[Processing][t=1109] Request completed at time 1109
[Processing][t=1111] Request completed at time 1111
[Processing][t=1111] Request completed at time 1111
[Streaming][t=1112] Request completed at time 1112
[Processing][t=1116] Request completed at time 1116
[Processing][t=1117] Request completed at time 1117
[Streaming][t=1117] Request completed at time 1117
[Processing][t=1118] Request completed at time 1118
[Streaming][t=1119] Request completed at time 1119
[Streaming][t=1120] Request completed at time 1120
[Streaming][t=1120] Request completed at time 1120
[Processing][t=1124] Request completed at time 1124
[Streaming][t=1128] Request completed at time 1128
[Streaming][t=1129] Request completed at time 1129
[Streaming][t=1129] Request completed at time 1129
[Processing][t=1132] Request completed at time 1132
[Processing][t=1133] Request completed at time 1133
[Streaming][t=1133] Request completed at time 1133
[Processing][t=1134] Request completed at time 1134
[Processing][t=1134] Request completed at time 1134
[Streaming][t=1134] Request completed at time 1134
[Processing][t=1137] Request completed at time 1137
[Processing][t=1139] Request completed at time 1139
[Streaming][t=1140] Request completed at time 1140
[Processing][t=1146] Request completed at time 1146
[Processing][t=1147] Request completed at time 1147
[Streaming][t=1147] Request completed at time 1147
[Processing][t=1150] Request completed at time 1150
[Processing][t=1151] Request completed at time 1151
[Processing][t=1156] Request completed at time 1156
[Streaming][t=1159] Request completed at time 1159
[Processing][t=1162] Request completed at time 1162
[Processing][t=1164] Request completed at time 1164
[Processing][t=1169] Request completed at time 1169
[Streaming][t=1170] Request completed at time 1170
[Streaming][t=1172] Request completed at time 1172
[Processing][t=1173] Request completed at time 1173
[Streaming][t=1173] Request completed at time 1173
[Streaming][t=1175] Request completed at time 1175
[Processing][t=1176] Request completed at time 1176
[Processing][t=1178] Request completed at time 1178
[Processing][t=1179] Request completed at time 1179
[Streaming][t=1180] Request completed at time 1180
[Processing][t=1186] Request completed at time 1186
[Processing][t=1187] Request completed at time 1187
[Streaming][t=1187] Request completed at time 1187
[Streaming][t=1187] Request completed at time 1187
[Processing][t=1191] Request completed at time 1191
[Processing][t=1191] Request completed at time 1191
[Processing][t=1191] Request completed at time 1191
[Streaming][t=1191] Request completed at time 1191
[Processing][t=1195] Request completed at time 1195
[Processing][t=1196] Request completed at time 1196
[Streaming][t=1198] Request completed at time 1198
[Processing][t=1201] Request completed at time 1201
[Streaming][t=1201] Request completed at time 1201
[Processing][t=1204] Request completed at time 1204
[Streaming][t=1204] Request completed at time 1204
[Streaming][t=1205] Request completed at time 1205
[Streaming][t=1213] Request completed at time 1213
[Processing][t=1216] Request completed at time 1216
[Streaming][t=1218] Request completed at time 1218
[Streaming][t=1218] Request completed at time 1218
[Processing][t=1219] Request completed at time 1219
[Processing][t=1220] Request completed at time 1220
[Streaming][t=1226] Request completed at time 1226
[Streaming][t=1227] Request completed at time 1227
[Processing][t=1229] Request completed at time 1229
[Processing][t=1231] Request completed at time 1231
[Streaming][t=1231] Request completed at time 1231
[Processing][t=1232] Request completed at time 1232
